PCBP2P1,2
PSMG1,19
BRWD1,135
AF129408.1,3
TIMM9P2,1
BRWD1-IT1,2
BRWD1-AS2,1
BRWD1-AS1,9
HMGN1,11
RNF6P1,2
GET1,64
GET1-SH3BGR,86
LCA5L,54
SH3BGR,6
JCADP1,1
B3GALT5,99
B3GALT5-AS1,5
AF064860.1,130
AF064860.2,1
IGSF5,105
PCP4,117
DSCAM,1317
DSCAM-AS1,4
DSCAM-IT1,11
AF064866.1,31
YRDCP3,1
AL773573.1,42
LINC00323,12
BACE2,125
PLAC4,11
FAM3B,97
MX2,106
MX1,69
AP001610.2,8
TMPRSS2,89
AP001610.3,2
AP006748.1,23
LINC00111,9
LINC00479,8
LINC00112,2
RIPK4,60
AP001615.1,5
PRDM15,165
AP001619.2,2
AP001619.1,8
C2CD2,162
ZBTB21,19
ZNF295-AS1,194
UMODL1,144
UMODL1-AS1,6
ABCG1,145
TFF3,9
TFF2,11
TFF1,7
TMPRSS3,35
UBASH3A,73
RSPH1,51
SLC37A1,102
LINC01671,21
AP001626.1,4
PDE9A,176
PDE9A-AS1,5
LINC01668,2
AP001628.1,5
WDR4,56
NDUFV3,41
ERVH48-1,24
MIR5692B,1
PKNOX1,41
CBS,50
U2AF1,28
AP001631.2,113
FRGCA,3
AP001631.1,4
CRYAA,4
LINC00322,17
LINC01679,5
AP001046.1,3
SIK1,17
LINC00319,14
LINC00313,17
AP001048.1,1
HSF2BP,240
H2BS1,2
RRP1B,40
PDXK,70
AP001053.1,6
CSTB,9
RRP1,11
AATBC,4
AGPAT3,217
AP001054.1,46
TRAPPC10,133
H2AZP1,2
PWP2,29
GATD3A,137
AP001056.2,34
AP001056.1,3
AP001057.1,18
ICOSLG,37
DNMT3L,26
DNMT3L-AS1,6
AIRE,31
PFKL,57
CFAP410,16
AP001062.1,10
AP001062.2,1
AP001063.1,1
TRPM2,174
TRPM2-AS,27
AP001065.2,1
LRRC3-DT,5
LRRC3,7
MTCYBP21,9
MTND6P21,4
MTND5P1,2
AP001065.3,2
LINC02575,11
TSPEAR,113
TSPEAR-AS1,4
TSPEAR-AS2,1
KRTAP10-4,87
KRTAP10-7,2
KRTAP10-9,1
UBE2G2,91
LINC01424,1
SUMO3,14
PTTG1IP,60
ITGB2,28
ITGB2-AS1,10
LINC01547,9
AL844908.1,2
FAM207A,32
AP001505.1,1
LINC00163,7
LINC00165,1
PICSAR,1
SSR4P1,3
ADARB1,268
AL133499.1,1
LINC00334,98
POFUT2,54
LINC00205,17
LINC00315,3
BX322557.1,4
LINC00316,7
MTCO1P3,1
